dt,title,href,newstxt
2015-01-21 06:32:58,"Oil tycoon Harold Hamm sells company for $3 billion - Jan. 21, 2015 ",http://money.cnn.com/2015/01/21/news/economy/harold-hamm-divorce/index.html,"Oil magnate Harold Hamm is selling one of his companies for $3 billion, but that kind of money still won't make up for what he recently lost.
Kinder Morgan (KMI) said Wednesday that it will buy Hamm's company Hiland, which owns gas and oil pipelines and plants primarily in North Dakota's Baaken oil field. It expects to finalize the sale in the next three months.
Hamm has lost nearly half his wealth in the past six months, thanks to the dramatic drop in oil prices that crushed the value of his other oil company, Continental Resources, Inc (CLR). That brings his net worth down to $9.3 billion, according to Wealth-X, a wealth tracking company.
Related: Oil tycoon lost $9.2 billion in six months
His wallet has also been hit by a very public and expensive divorce that is costing him another $1 billion. His ex, Sue Ann Arnall, has already cashed his check for the full amount, but is appealing the judge's ruling. She says she's entitled to more.
Hamm has also appealed, claiming that he can no longer afford the $1 billion settlement because of the declining value of his company. He recently secured a personal loan, using shares of Continental Resources as collateral. It's unclear how much the loan is for.
Hamm's lawyer would not comment for this story.
Related: Winners and losers of oil's plunge"
2015-01-22 01:33:03,"Fake IRS phone calls tops list of tax scams - Jan. 22, 2015 ",http://money.cnn.com/2015/01/22/pf/taxes/irs-tax-scams/index.html,"If someone calls saying he's an IRS agent and demands that you send money immediately, hang up.
It's a phone scam.
In fact, it tops the IRS ""Dirty Dozen"" list of tax scams this year, and it's been surging in recent months, the agency said Thursday.
The Treasury Inspector General for Tax Administration (TIGTA), which oversees the IRS, has received reports of 290,000 scam calls since October 2013 and said nearly 3,000 victims have been swindled out of $14 million so far.
By altering their caller ID number to make it look like they're calling from an IRS office, these scammers often threaten vulnerable people like the elderly and new immigrants with things like arrest, deportation or the loss of their driver's license if they don't pay immediately for money purportedly owed.

Related: 7 most common tax mistakes
Often leaving messages that say it's ""urgent"" you call them back, the scammers use common names and sometimes say they are from the IRS Criminal Division. They may even claim to know the last four digits of your Social Security number and send follow-up emails that appear to be from the IRS, TIGTA said.
They often demand that payments be made by prepaid debit card.
Once they make their threats, the scammers have been known to call back and again disguise their caller ID so it appears they are calling from the police department or the Department of Motor Vehicles (DMV).
Or sometimes when they call, they may say you have a refund due and ask you to provide personal information so you can claim it.
The real IRS will usually contact you by regular mail first, if it needs to contact you at all. And the agency never demands immediate payment by phone or asks for credit card or debit numbers if they do call. It also never asks for personal or financial information by email, text or social media.
If you get what you suspect is a scam call, report it to TIGTA through its Web site or call 800-366-4484.
Related: 13 crazy tax deductions"
2015-02-01 07:21:24,"Super Bowl advertisers 'are on trial' - Feb. 1, 2015 ",http://money.cnn.com/2015/02/01/media/super-bowl-ad-review/index.html,"Defying a stereotype of beer-soaked, sex-saturated ads, this year's crop of Super Bowl commercials were by turns triumphant and thoughtful, and at times even downright somber.
There were babies, dads, dogs, celebrities, athletes, and more babies. But there was also a minute-long message about domestic violence and a dead child who ""couldn't grow up.""
The provocative messages were meant to stand out from the dozens of other spots competing for attention. They might have made for a few awkward moments at viewing parties, but there were still plenty of ads that elicited smiles.
Well-received spots included Budweiser's ""Lost Dog"" commercial; BMW's humorous ad with Katie Couric and Bryant Gumbel; and a serious Coca Cola ad rebuking Internet ""haters."" Other hits included a throw-back Snickers ad starring Danny Trejo and Steve Buscemi and an almost universally praised Dodge ad featuring senior citizens.
Related: Seahawks and Patriots fans face off
For the companies, Sunday was a $4.5 million moment. Months of planning and weeks of promotion culminated in 15 to 60 seconds in front of more than 100 million viewers -- and those viewers instantly delivered their verdicts via the Internet.
""Advertisers are on trial via social media,"" said media strategist Shari Anne Brill.
Companies facing negative reviews on Sunday night -- but still lots of chatter about their ads -- included Nationwide Insurance, T-Mobile and GoDaddy.
Nationwide's ad showed a boy speaking about the life he would have lived, had he not been killed in an accident.
""I'll never learn how to ride a bike. Or get cooties!"" the character said.
""That Nationwide ad just knocked me off my chair,"" CNNMoney's Frank Pallotta tweeted.
As criticism mounted on Sunday night, Nationwide felt compelled to issue a statement: ""The sole purpose of this message was to start a conversation, not sell insurance.""
The conversation Nationwide wanted to start was about how ""preventable injuries around the home are the leading cause of childhood deaths in America.""
Instead, the boy became a meme even before halftime.
""The second I see a kid in one of these commercials I immediately assume they're going to die. Thanks, Nationwide!"" comedian Patton Oswalt tweeted.
Related: Will the Super Bowl get record ratings?
Paying an average of $4.5 million for 30 seconds of air time, advertisers during the four quarters of the Super Bowl faced extraordinarily high stakes. (And that's just the price paid to NBC -- companies pay huge amounts of money to get the ads produced.)
""There were a lot of tear-jerkers during the game, including Budweiser's puppy ad, Microsoft (boy with prosthetics) and Nationwide (childhood deaths),"" said Sean Muller, the CEO of iSpot.tv, which tracked online reaction to the ads.
""This had a lot of people begging for more funny ads, which seemed to be more absent this year -- though FiatUSA, Doritos, Skittles and Avocados of Mexico (yes, avocados!) were hits among funny ads.""
One ad right before kickoff that drew immediate commentary: a spot by Chevrolet about the wireless Internet capabilities of its Colorado trucks. ""Chevy trucks advertising 4G LTE instead of driving through gratuitous mud. The world has truly gone tech,"" Mashable chief strategy officer Adam Ostrow wrote on Twitter.
There were also two commercials for mobile games, and for the first time, Snapchat showed up in an ad.
The all-important first ad position after kick-off belonged to Toyota, (TM) which had a feel-good spot starring Paralympic athlete Amy Purdy.
Some advertisers tried to capitalize on their multi-million-dollar investment by releasing their ads days ahead of time -- prompting speculation that this reduced game day anticipation.
Muller said ""the volume of pre-releases/teasers"" was definitely different this year.
Some advertisers, he said, used Facebook's relatively new video features to get attention, ""driving up viewing and social activity significantly.""
But ""the volume of views and activity on Facebook appears to be an additive, meaning it's not taking away from activity on other platforms,"" like YouTube, Muller said. ""And secondly, some brands aren't utilizing it yet -- I suspect that will change next year.""
A high number of ads had social messages, including Procter & Gamble's ""Like A Girl"" ad that challenged gender norms, and Coca Cola's ad encouraging happy Internet communications.
""We can't solve negativity on the Internet, but we can use the world's biggest advertising stage to ask people to think twice before posting negative messages and images,"" Jennifer Healan, the company's group director of integrated marketing content, said in a statement. ""We hoped to inspire Americans to help make the Internet a more inclusive, happier place.""
Perhaps the most thought-provoking ad of the game was the one commissioned by the NFL for its ""No More"" initiative, intended to stop domestic violence and sexual assault.
""The spot, which features a woman calling 911 and pretending to order a pizza because her husband is in the room, is based on a real 911 call,"" said the ad blog Spot Bowl, which called it a ""game-changer.""
It said the NFL was giving over ""some of the airtime it normally reserves for light-hearted self promos"" for the PSA.
Brill, a former executive at the ad agency Carat, noted that the NFL says it is contributing $5 million per year for the next five years to the National Domestic Violence hotline.
""It's about time,"" she said."
2015-01-27 09:37:53,"How much it takes to get into Top 1% in every state - Jan. 27, 2015 ",http://money.cnn.com/2015/01/27/news/economy/top-1/index.html,"Want to be part of the Top 1%?
Move to Arkansas. The bar is much lower there.
It only takes $228,298 to get into the upper echelon in Arkansas, according to a report from the left-leaning Economic Policy Institute.
But in Connecticut, which has the highest threshold, it takes $677,608 to make it into that elite group. Researchers looked at IRS data for 2012 tax returns by state.
The Top 1% has been pulling away from the rest of the country as their incomes skyrocket. The trend is even more pronounced in certain states.
In 16 states, they captured all the income growth between 2009 and 2012. In another 22 states, more than half the income gains went to those highest on the income ladder.
Only West Virginia saw the income of the Top 1% decline, while that of the Bottom 99% increased.
Connecticut has the widest spread between the average income for the Top 1% and the average income for the rest of the state. They make 51 times that of the rest of their neighbors ($2.7 million vs. $52,600). On the flip side, Hawaii has the narrowest spread at only 14.6.
The Northeast generally has the biggest gap between the Top 1% and everyone else, thanks to the prominence of the financial industry in the New York metro area. The Midwest, meanwhile, has long had a smaller differential, possibly due to the strength of unions in the manufacturing industries there.
What it takes to be 1% - all 50 states ranked
Related: Average incomes of the Top 1% and the Bottom 99% in every state.
"
2015-01-30 10:14:41,"Seahawks v. Patriots: How do the fans measure up? - Jan. 30, 2015 ",http://money.cnn.com/2015/01/30/technology/super-bowl-2015-fans/index.html,"Forget about football. Seahawks and Patriots fans don't see eye-to-eye on much at all.
While Patriots fans are much more likely hang out at concerts and imbibe at bars, Seahawks fans prefer to frequent water parks and the zoo. And unsurprisingly, they prefer to buy in bulk at Costco (COST) (founded in Seattle), unlike their competitors who shop at Sam's Club.
This is all according to a study released by startup PlaceIQ. The ad tech firm partnered with Datalogix to take a look at this year's Super Bowl fans: Patriots fans are more likely to be single, have a higher income ($75,000 or more) and be a bit older (35 to 54). Seahawks fans skew younger (25 to 44), tend to be married with kids, and earn a little less ($50,000 or more).
PlaceIQ also looked at how their likes, dislikes and habits compared to the average American consumer.

Related: Is this the Super Bowl's next GoDaddy?
Related: Super Bowl 2015: Budweiser, a Clydesdales and a puppy"
2015-01-30 10:14:41,"Seahawks v. Patriots: How do the fans measure up? - Jan. 30, 2015 ",http://money.cnn.com/2015/01/30/technology/super-bowl-2015-fans/index.html,"Forget about football. Seahawks and Patriots fans don't see eye-to-eye on much at all.
While Patriots fans are much more likely hang out at concerts and imbibe at bars, Seahawks fans prefer to frequent water parks and the zoo. And unsurprisingly, they prefer to buy in bulk at Costco (COST) (founded in Seattle), unlike their competitors who shop at Sam's Club.
This is all according to a study released by startup PlaceIQ. The ad tech firm partnered with Datalogix to take a look at this year's Super Bowl fans: Patriots fans are more likely to be single, have a higher income ($75,000 or more) and be a bit older (35 to 54). Seahawks fans skew younger (25 to 44), tend to be married with kids, and earn a little less ($50,000 or more).
PlaceIQ also looked at how their likes, dislikes and habits compared to the average American consumer.

Related: Is this the Super Bowl's next GoDaddy?
Related: Super Bowl 2015: Budweiser, a Clydesdales and a puppy"
2015-01-30 04:05:46,"Seahawks' Paul Allen is the NFL's richest team owner - Jan. 30, 2015 ",http://money.cnn.com/2015/01/30/news/companies/richest-nfl-team-owners/index.html,"The NFL is the ultimate billionaire's club.
The Seattle Seahawks owner Paul Allen is by far the richest in the league. The Microsoft (MSFT, Tech30) co-founder is worth about $17 billion, according to various estimates.
The Seahawks head to the Super Bowl for the second year in a row. This year they face off against the New England Patriots which are owned by Robert Kraft, who has a net worth of $4 billion, making him the sixth richest owner in the NFL.
The two men made their money in very different ways.
Related: NFL gets billions in subsidies from taxpayers
Allen helped Bill Gates start Microsoft when both were students at Harvard, and left the company with a chunk of its then privately-held stock in 1983 which translated in to the bulk of his wealth. Allen also made about $2 billion from the appreciation in value of the Seahawks and the NBA's Portland Trail Blazers, both of which he bought decades ago.

By contrast, Patriots owner Robert Kraft made most of his $4 billion fortune in football. He bought his team for a reported $172 million in 1994, and today it's worth an estimated $2.6 billion.
Related: Seahawks vs. Patriots - How do the fans measure up?
There's only one NFL team with owners that aren't worth billions. The Green Bay Packers is actually publicly owned by its fans, who hold a special issue of stock in the team that can not be sold or traded.
Related: NFL earns record profits despite ugly image
"
2015-02-04 07:48:09,"Ford raising pay of hundreds of workers nearly 50% - Feb. 4, 2015 ",http://money.cnn.com/2015/02/04/news/companies/ford-worker-raises/index.html,"Ford Motor plans to raise the pay of 300 to 500 entry-level workers by more than $19,000 a year, or nearly 50% -- another sign of the rebound of the U.S. auto industry.
The workers had been paid $19.28 an hour, which is roughly $9 an hour less than what veteran autoworkers receive.
The United Auto Workers union agreed to the entry-level wage for new hires as part of the 2007 labor negotiations, when Ford (F), General Motors (GM) and Chrysler Group were all losing money.
The Detroit automakers were having trouble competing with lower paid nonunion U.S. plants of foreign automakers such as Toyota (TM) and Honda (HMC).
The two-tier wage structure let the union give the companies some relief without requiring existing members to take pay cuts.
At first there were few workers at the lower wage since the automakers were cutting jobs rather than hiring. But after the federal bailouts and bankruptcy reorganization of GM and Chrysler in 2009, things started to turn around in the industry as car sales rebounded.
A 2011 labor deal kept the two tiers but capped the number of workers at the lower wages. Ford has been adding jobs since then and now has more than 14,000 workers at the entry level wage, according to a report on a UAW's Web site.
With normal attrition and plans announced Tuesday to hire an additional 1,550 workers to meet demand for the new F-150 pickup truck, Ford said it will be raising the pay of 300 to 500 workers at some time in the first quarter.
This will be the first group of entry-level workers promoted to the traditional wage.
Ford said the two-tier wages enabled the automaker to invest more than $6.2 billion in its U.S. manufacturing facilities in the last three years and hire more than 15,000 workers.
The contracts between the UAW and the Detroit automakers are due to expire later this year and the UAW officials are already on record as saying they will seek to eliminate the two-tier wage structure in the next labor deal, bringing all the entry level workers up to the veteran pay scale.
Even Fiat Chrysler Automobiles (FCAM) CEO Sergio Marchionne said he believes the entry level tier should be eliminated.
""There can't be two classes for people who do the same work,"" Marchionne told reporters at the Detroit auto show last month, according to numerous reports. ""It's impossible. It's almost offensive."""
2015-02-04 11:21:06,"Insurance giant Anthem hit by massive data breach - Feb. 4, 2015 ",http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-security/index.html,"Hackers have stolen information on tens of millions of Anthem Inc. customers, in a massive data breach that ranks among the largest in corporate history.
The information stolen from the insurance giant includes names, birthdays, medical IDs, social security numbers, street addresses, e-mail addresses and employment information, including income data.
Anthem said there is no evidence that credit card or medical information was compromised. While damage is still being assessed, the compromised database contained up to 80 million customer records.
Formerly known as Wellpoint, Anthem (ANTM) is the second-largest health insurer in the United States. The company operates plans including Anthem Blue Cross, Anthem Blue Cross and Blue Shield Amerigroup and Healthlink.
Related: What hackers know about you
Although some news reports have linked the hack to the Chinese government, law enforcement sources and private security firms told CNN it's too early to tell.
Anthem pledged to individually notify current and former customers if their data has been stolen, and by late Wednesday evening, some members reported receiving e-mails from the insurer informing them of the breach. Anthem will offer free credit monitoring and identity protection services to affected customers.
""Anthem's own associates' personal information -- including my own -- was accessed during this security breach. We join you in your concern and frustration, and I assure you that we are working around the clock to do everything we can to further secure your data,"" CEO Joseph Swedish said in a letter to customers.
Anthem said the breach resulted from a ""very sophisticated external cyber attack,"" and that law enforcement agencies were still working to identify the perpetrator. The company has retained Mandiant, a leading cybersecurity firm, to help in the investigation.
The insurer is the latest in a series of companies to suffer severe data breaches. Last year, hackers obtained credit card data for 40 million Target shoppers, as well as personal information -- including names, addresses, phone numbers and e-mail addresses -- for 70 million customers.
Records have also been stolen from Neiman Marcus, JPMorgan Chase (JPM), Experian, eBay (EBAY, Tech30) and Home Depot (HD).
Related: Why should we trust the Sony PlayStation Network ever again?
The Federal Bureau of investigation said that it was aware of the intrusion, and it's investigating the matter. The agency also praised Anthem's decision to quickly address the breach.
""Anthem's initial response in promptly notifying the FBI after observing suspicious network activity is a model for other companies and organizations facing similar circumstances,"" the FBI said. ""Speed matters when notifying law enforcement of an intrusion.""
What to do if you're a customer: If you have Anthem insurance, there's not much you can do but sit tight for now. Anthem has set up a website, anthemfacts.com, with information about the hack.
In the next few weeks, Anthem will inform you by mail if your information was compromised. All impacted Anthem customers will receive some form of identity fraud protection, the company said.
E-mail addresses might have been stolen, but Anthem has not indicated that passwords were taken as part of the hack. You might want to consider changing your Anthem password, just to be safe. If you are concerned that your Anthem e-mail and password combination could have also been used to login to another service, you should change those passwords as well.
All Anthem customers should be on alert for scams. Hackers can use the information stolen from your account to impersonate you or your friends and family.
Related: You've been hacked! Here's what to do
Related: Why are we still using Social Security numbers to identify ourselves?
-- CNN's David Goldman, Jose Pagliery, Evan Perez and Simon Prokupecz contributed reporting."
2015-02-10 07:34:34,"Anonymous: We've taken down 800 ISIS Twitter accounts - Feb. 10, 2015 ",http://money.cnn.com/2015/02/10/technology/anonymous-isis-hack-twitter/index.html,"Hundreds of social media accounts apparently linked to terrorist group ISIS have been shut down.
Hacking group Anonymous claimed responsibility for targeting nearly 800 Twitter accounts, 12 Facebook pages and over 50 email addresses because of their links with ISIS.
Twitter (TWTR, Tech30) did not respond to a request for comment. Facebook (FB, Tech30) said it had shut down 11 of the 12 pages listed by Anonymous because they breached its rules. It declined to comment on whether it had been alerted to the offending content by the hackers.
Anonymous declared war against Islamic extremists last month, saying in a YouTube video that they would track down their websites and social media networks and take them down.
In a new video posted Friday, Anonymous sent another warning to ISIS: ""You will be treated like a virus, and we are the cure. We own the Internet.""
Checks by CNNMoney found the vast majority of Twitter accounts mentioned by Anonymous were displaying a message saying they had been suspended or were not available.
Both Twitter and Facebook are known to take down accounts and content that are associated with terrorism, but it can be difficult to keep track of their millions of users. They often rely on complaints from others before making a move.
Related: Meet the mysterious figure who hacks jihadists
Anonymous has gained notoriety over the last few years for hacking websites belonging to government departments, companies and other organizations.
Its campaign against ISIS was triggered by the bloody attack on French satirical magazine Charlie Hebdo in January, in which 12 people were murdered.
""We, Anonymous around the world, have decided to declare war on you the terrorists,"" it said in January.
ISIS -- an acronym for the Islamic State in Iraq and Syria -- started as an al Qaeda splinter group. It is fighting to create an Islamic state across Sunni areas of Iraq and Syria. It has taken over large swaths of northern and western Iraq and is known for carrying out public executions, crucifixions and other inhumane acts.
It has been known to recruit volunteer fighters via social media."
