dt,title,href,newstxt
2015-01-19 18:20:00,Global protests against Charlie Hebdo magazine cover - CNN Video,http://www.cnn.com/videos/world/2015/01/19/erin-pkg-lah-charlie-hebdo-protests.cnn,"The Islamic world protests Charlie Hebdo's first cover, post-terrorist attack. CNN's Kyung Lah reports."
2015-01-26 19:47:00,NYC blizzard in slow motion - CNN Video,http://www.cnn.com/videos/us/2015/01/27/orig-nyc-blizzard-2015-in-slo-motion-times-square.cnn,"Ahead of what could be a historic blizzard in the Northeast, people in Times Square still find time to slip and take 'selfies' in the winter weather."
2015-01-21 16:36:00,Classified UFO documents released  - CNN Video,http://www.cnn.com/videos/us/2015/01/21/ufo-documents-project-blue-book-crane-orig-mg.cnn,"Nearly 130,000 pages of declassified Air Force files on UFO investigations and sightings are now available in one place online. UFO enthusiast John Greenewald compiled a database called the Project Blue Book Collection, containing nearly every declassified document from the Blue Book project."
2015-02-02 20:22:00,Pediatrician refuses families who refuse to vaccinate - CNN Video,http://www.cnn.com/videos/tv/2015/02/03/exp-erin-dnt-simon-should-parents-be-allowed-to-refuse-vaccine-for-kids.cnn,A California doctor is taking a hard stance -- refusing families who refuse to vaccinate. CNN's Dan Simon reports.
2015-02-04 18:40:00,Dog jumps into icy lake at JUST the right spot - CNN Video,http://www.cnn.com/videos/us/2015/02/04/erin-pkg-moos-ice-lake-dog-rescue.cnn,Watch dog get rescued from icy Lake Michigan. Jeanne Moos reports this lab's tricks include opening the garage door!
2015-02-04 18:40:00,Dog jumps into icy lake at JUST the right spot - CNN Video,http://www.cnn.com/videos/us/2015/02/04/erin-pkg-moos-ice-lake-dog-rescue.cnn,Watch dog get rescued from icy Lake Michigan. Jeanne Moos reports this lab's tricks include opening the garage door!
2015-02-08 15:26:00,Meet Jordan's royal power couple - CNN Video,http://www.cnn.com/videos/world/2015/02/08/pkg-shubert-orig-king-and-queen-of-jordan.cnn,Who are King Abdullah II and Queen Rania of Jordan? CNN's Atika Shubert has the answers.
2015-02-12 16:59:00,Hostage's boyfriend tried to rescue her - CNN Video,http://www.cnn.com/videos/us/2015/02/12/lead-dnt-brown-white-house-mueller.cnn,CNN's Pamela Brown reports on multiple unsuccessful attempts to rescue ISIS hostage Kayla Mueller. 
2015-02-14 12:03:00,"Witness: Heard gunshots, person yelling in Arabic - CNN Video",http://www.cnn.com/videos/world/2015/02/14/nr-denmark-shooting-witness-heard-gunshots-person-yelling-arabic.cnn,A witness to the shooting in Denmark says he heard multiple gunshots and a person yelling in Arabic.
2015-02-26 17:17:00,The best moments of Spock  - CNN Video,http://www.cnn.com/videos/tv/2015/02/26/best-moments-of-spock-tss-orig.cnn,"See Leonard Nimoy is his most memorable moments as Spock, from the first time he appeared on screen to the moment he first showed any emotion."
2015-03-03 15:39:00,"Obama, Netanyahu bash each other's Iran plans - CNN Video",http://www.cnn.com/videos/world/2015/03/03/lead-dnt-labott-netanyahu-speech-israel.cnn,President Obama responds to Israeli Prime Minister Benjamin Netanyahu's critique of Obama's proposed nuclear deal with Iran. CNN's Elise Labott reports.
2015-03-05 16:14:00,Passengers: 'Eerily quiet' as plane skid off runway - CNN Video,http://www.cnn.com/videos/tv/2015/03/05/lead-intv-joffe-stern-passengers-la-guardia-plane-skid.cnn,Passengers Sam Stern and Roxanne Joffe describe being on board a flight that skid off an icy New York runway and stopped just feet from the water's edge. 
2015-01-19 16:20:00,Americans prepare to evacuate from Yemen - CNN Video,http://www.cnn.com/videos/world/2015/01/19/tsr-dnt-starr-us-alert-level-yemen.cnn,U.S. officials raise the alert level for forces near Yemen. CNN's Barbara Starr reports on American preparations for a possible evacuation.
2015-02-19 07:30:00,Man solves 'Wheel of Fortune' puzzle in one guess - CNN Video,http://www.cnn.com/videos/us/2015/02/19/newday-wheel-of-fortune-one-letter-guess.cnn,"One lucky contestant solved a long puzzle on ""Wheel of Fortune"" with only one letter. "
2015-02-20 16:00:00,"Inside the $160,000 Oscars gift bag  - CNN Video",http://www.cnn.com/videos/entertainment/2015/02/20/lead-dnt-tapper-oscars-gift-bag.cnn,"Hollywood stars attending the Oscars will receive ""swag bags"" containing $160,000 in free goodies. So what's in the bags? Jake Tapper reports. "
2015-01-21 18:32:00,What are the advantages of a deflated football? - CNN Video,http://www.cnn.com/videos/sports/2015/01/21/natpkg-scholes-coy-wire-deflated-football-101.cnn,CNN Sports' Andy Scholes and NFL veteran Coy Wire explain the advantages of a deflated football and discuss a recent New England Patriots game.
2015-03-02 10:57:00,A bubble bath ... with Mentos and Coke Zero? - CNN Video,http://www.cnn.com/videos/living/2015/03/02/mentos-diet-coke-viral-video-5-things-orig-nws.cnn,YouTube user Hajime taped Mentos to his body and jumped into a bathtub filled with Coke Zero. Now the fizzy video has gone viral.
2015-03-02 17:01:00,New video shows LAPD shooting of unarmed man  - CNN Video,http://www.cnn.com/videos/us/2015/03/02/erin-dnt-lah-lapd-shooting-new-video.cnn,New video obtained by CNN shows a different angle of the shooting that left a homeless man dead after a struggle with LAPD officers. CNN's Kyung Lah reports. 
"2031 GMT (0431 HKT) February 2, 2015",Stephen Fry: The proudest moment of my life... - CNN Video,http://edition.cnn.com/videos/world/2015/02/02/wrn-viewer-questions-stephen-fry-intv.cnn,British comedian Stephen Fry answers questions submitted to him by CNN viewers on Twitter.
2015-03-04 13:07:00,Former MLB'er tracks down daughter's cyberbullies - CNN Video,http://www.cnn.com/videos/us/2015/03/04/newday-sot-curt-schilling-tracks-cyberbullies.cnn,Former Boston Red Sox pitcher Curt Schilling tracked down the people that cyberbullied his daughter on social media.
"1140 GMT (1940 HKT) February 6, 2015",Amazing free diving video in the waters of French Polynesia - CNN Video,http://edition.cnn.com/videos/tv/2015/02/06/pkg-free-diving-gravity.cnn,Follow free diver Guillaume Nery as he floats effortlessly thru the raging currents of the South Pacific. 
2015-02-19 07:26:00,Confessions of an Oscars seat filler - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/19/oscars-seat-filler-orig.cnn,Monica Enriquez has been a professional seat filler at awards shows for 15 years. She shares her most memorable moments. 
2015-02-20 20:14:00,How much is an Oscar win worth? - CNN Video,http://www.cnn.com/videos/tv/2015/02/21/exp-erin-intv-shuter-how-much-is-an-oscar-win-worth.cnn,"CNN's Erin Burnett speaks with Rob Shuter, host of VH1's The Gossip Table about the value of an Oscar win."
2015-02-16 15:35:00,The weird way Oscar votes are counted - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/16/how-oscars-voting-works-orig.cnn,Every year the debates rage on: Why did that movie or actor win an Oscar? But there is a method to the awards show madness. 
2015-02-16 10:43:00,Who is on al Qaeda's 'wanted' list? - CNN Video,http://www.cnn.com/videos/world/2015/02/16/orig-pkg-robertson-al-qaeda-wanted-list.cnn,"CNN's Nic Robertson reports on the some of the people who are included on a ""wanted"" list published by al Qaeda in the spring of 2013."
2015-03-05 09:16:00,"Lion opens car door, terrifies family - CNN Video",http://www.cnn.com/videos/travel/2015/03/05/mxp-lion-opens-car-door-with-teeth.hln,A family in South Africa was stunned when a lion in a safari park opened their car door with its teeth.
2015-02-10 11:14:00,Can these apps help you find true love? - CNN Video,http://www.cnn.com/videos/tv/2015/02/10/inside-man-spurlock-dating.cnn,Inside Man's Morgan Spurlock tries his luck as a matchmaker and explores the pitfalls of online dating. See the full episode Thursday at 9PM ET on CNN.
2015-02-22 21:28:00,The name ISIS hates to be called - CNN Video,http://www.cnn.com/videos/world/2015/02/23/name-isis-hates-orig.cnn,We know them as ISIS or ISIL. But there's another name the group hates -- so much they've threatened to cut out the tongue of anyone who uses it. 
2015-03-06 06:46:00,Delta passenger thought he would 'end up dead' - CNN Video,http://www.cnn.com/videos/tv/2015/03/06/newday-delta-passenger.cnn,Delta flight 1086 passenger Jared Faellaci tells New Day's Michaela Pereira about the moment he knew something had gone wrong.
2015-02-25 17:09:00,Mystery drone sightings spark security concerns - CNN Video,http://www.cnn.com/videos/world/2015/02/25/erin-pkg-ripley-drones-paris-security-concerns.cnn,A series of unmanned aerial vehicles spotted over high-profile locations has increased security concerns over drones. CNN's Will Ripley reports.
2015-02-23 20:04:00,Did the U.S. put policy before American lives?  - CNN Video,http://www.cnn.com/videos/tv/2015/02/24/exp-erin-dnt-lah-mueller-family-breaks-silence.cnn,Families of ISIS hostages say U.S. puts policy ahead of American lives. CNN's Kyung Lah explains.
2015-02-23 15:52:00,NSA chief: New blind spots in tracking terrorists - CNN Video,http://www.cnn.com/videos/us/2015/02/23/tsr-dnt-sciutto-nsa-chief-tracking-isis-terrorists.cnn,The director of the National Security Agency speaks with CNN's Jim Sciutto about the problems his agency faces trying to track terrorists and combat cyber attacks.
2015-02-09 18:53:00,The evolution of hostage's praise of ISIS - CNN Video,http://www.cnn.com/videos/world/2015/02/09/erin-dnt-foreman-cantlie-isis-video.cnn,A new ISIS video features a British hostage praising the group. Is he speaking under duress or has he been brain washed? CNN's Tom Foreman investigates.
2015-02-06 12:44:00,This video is no longer available - CNN Video,http://www.cnn.com/videos/entertainment/2015/02/06/rihanna-harpers-bazaar-jaws-shark-shoot-orig.cnn-harpers-bazaar,This video is no longer available. We apologize for the inconvenience.
2015-02-23 10:19:00,Pedestrians disappear into sidewalk sinkhole - CNN Video,http://www.cnn.com/videos/world/2015/02/23/nr-south-korea-sinkhole-ytn.cnn,Frightening video shows two rail passengers in South Korea fall into a sinkhole nearly 10 feet deep as they walk off a train. 
2015-02-27 20:50:00,Mysterious Ceres images perplex NASA - CNN Video,http://www.cnn.com/videos/us/2015/02/28/orig-crane-ceres-dwarf-planet-classification.cnn-nasa,"CNN's Rachel Crane looks at Ceres, a mysterious dwarf planet, as NASA's Dawn spacecraft closes in."
