src,filename,href,title
cnn,10QwlO4,http://ireport.cnn.com/topics/1187258,Wintry weather: News & Videos about Wintry weather - CNN iReport
cnn,1506xkq,http://www.cnn.com/videos/world/2015/01/19/erin-pkg-lah-charlie-hebdo-protests.cnn,Global protests against Charlie Hebdo magazine cover - CNN Video
cnn,1526kgE,http://www.cnn.com/2015/01/20/politics/who-is-joni-ernst/index.html,Who is Joni Ernst? - CNN.com
cnn,153lNgr,http://www.cnn.com/interactive/2015/01/politics/sotu-bingo/,State of the Union Bingo
cnn,154UG5I,http://www.cnn.com/2015/01/16/politics/sotu-words/index.html,Presidential parts of speech - CNN.com
cnn,15AA9Wg,http://www.cnn.com/2015/01/25/politics/rubio--palins-2016-plans/index.html,The GOP field: Rubio and Palin's 2016 plans - CNN.com
cnn,15AsCql,http://www.cnn.com/2015/01/25/world/egypt-violence/index.html,16 dead in protests marking Egypt revolution - CNN.com
cnn,15bN7Jx,http://money.cnn.com/2015/01/21/news/economy/harold-hamm-divorce/index.html,"Oil tycoon Harold Hamm sells company for $3 billion - Jan. 21, 2015 "
cnn,15BSUZx,http://www.cnn.com/2015/01/26/asia/isis-japan-hostages-up-to-speed/index.html,Japan's ISIS hostage crisis: Where things stand - CNN.com
cnn,15CdnNu,http://www.cnn.com/2015/01/26/politics/jeb-bush-presidential-campaign-2016/index.html,Jeb's invisible man strategy - CNN.com
cnn,15DHxAe,https://twitter.com/outfrontcnn/status/559873253745766401,"OutFrontCNN on Twitter: ""#Blizzardof2015: Boston's worst storm on record dates back to Feb. 2003 #SnowFacts @CNN http://t.co/Nb388pB1fM"""
cnn,15Dq22C,http://www.cnn.com/2015/01/26/politics/russian-spy-in-new-york-city/index.html,Alleged Russian spy arrested in New York City - CNN.com
cnn,15dWE2J,http://www.cnn.com/2015/01/22/world/australia-frilled-shark/index.html,Rare frilled shark caught off Australian coast - CNN.com
cnn,15EDFhT,http://www.cnn.com/2015/01/26/politics/keystone-xl-bill-blocked/index.html,Democrats block Keystone XL bill - CNN.com
cnn,15F4zGq,http://www.cnn.com/videos/us/2015/01/27/orig-nyc-blizzard-2015-in-slo-motion-times-square.cnn,NYC blizzard in slow motion - CNN Video
cnn,15gcqdy,http://money.cnn.com/2015/01/22/pf/taxes/irs-tax-scams/index.html,"Fake IRS phone calls tops list of tax scams - Jan. 22, 2015 "
cnn,15IfVtz,http://www.cnn.com/interactive/2015/01/world/auschwitz/,Voices of Auschwitz
cnn,15KFqtZ,http://www.cnn.com/2015/01/27/politics/drone-white-house-crash-secret-service/index.html,Drone operator worked for U.S. intelligence agency - CNN.com
cnn,15kpJdM,http://www.cnn.com/2015/01/19/world/taiwan-gamer-death/index.html,Man dies after 3-day Internet gaming binge - CNN.com
cnn,15M4GAB,http://www.cnn.com/2015/01/29/world/mexico-explosion/index.html,Mexico City maternity hospital blast kills 3 - CNN.com
cnn,15M6sSa,http://www.cnn.com/2015/01/29/politics/bergdahl-swap-prisoner-militant-activity/index.html,Military suspects Detainee swapped for Bergdahl has returned to fight - CNN.com
cnn,15MdQNV,http://www.cnn.com/specials/us/cnnsnow-social,#CNNsnow: Your view of the blizzard - CNN.com
cnn,15MdQNV,http://www.cnn.com/specials/us/cnnsnow-social,#CNNsnow: Your view of the blizzard - CNN.com
cnn,15MdQNV%0D.1,http://www.cnn.com/specials/us/cnnsnow-social,#CNNsnow: Your view of the blizzard - CNN.com
cnn,15Mh9UL,http://www.cnn.com/2015/01/29/politics/senate-keystone-final-vote/index.html,Senate passes Keystone XL measure - CNN.com
cnn,15o9Diq,http://www.cnn.com/2015/01/23/us/titanic-letter-auction/index.html,"Auction headliners: Grateful Dead, Titanic ingrate - CNN.com"
cnn,15Ph2HC,http://www.cnn.com/2015/01/28/us/south-carolina-friendship-nine-sit-in-convictions-vacated/index.html,S.C. judge tosses sit-in convictions for Friendship 9 - CNN.com
cnn,15pp0rG,http://www.cnn.com/2015/01/19/world/china-us-f35-fighter-denial/index.html,China denies it stole designs for new U.S. fighter - CNN.com
cnn,15QAtQz,http://www.cnn.com/2015/01/28/politics/supreme-court-stays-executions/index.html,Supreme Court stays executions of three in Oklahoma - CNN.com
cnn,15QAtQz,http://www.cnn.com/2015/01/28/politics/supreme-court-stays-executions/index.html,Supreme Court stays executions of three in Oklahoma - CNN.com
cnn,15QHMsg,https://twitter.com/outfrontcnn/status/560229602702807040,"OutFrontCNN on Twitter: "".@ErinBurnett on her trip to #Boston in the midst of #blizzardof2015: The trip felt 'apocalyptic' @CNN http://t.co/LTKkYlnHC1"""
cnn,15qNRLc,http://www.cnn.com/2015/01/19/politics/jindal-no-go-zones-london/index.html,Bobby Jindal invokes controversial 'no-go zones' in London speech - CNN.com
cnn,15sS5C7,https://twitter.com/outfrontcnn/status/557690252241174528,"OutFrontCNN on Twitter: ""#BREAKING: Obama to Congress tonight: Authorize ""use of force"" against #ISIS #CNNSOTU http://t.co/OeNACkV8g4 @CNN http://t.co/LfC0W1ywwu"""
cnn,15sZqSf,https://twitter.com/cnnpolitics/status/557729569420374016,"CNN Politics on Twitter: ""President Obama calls for paid sick leave for every American worker http://t.co/mJt5gcOFun http://t.co/o780oBLQDQ #cnnsotu"""
cnn,15ugGqE,http://www.cnn.com/2015/01/20/politics/lead-jason-gibson-wounded-warrior-sotu/index.html,Unbreakable: Wounded warrior Jason Gibson  - CNN.com
cnn,15uNShn,http://www.cnn.com/2015/01/21/middleeast/saudi-beheading-video/index.html,Saudi beheadings:  - CNN.com
cnn,15VE9RQ,http://www.cnn.com/2015/01/26/world/nazi-death-camps/index.html,Interactive map: Nazi death camps - CNN.com
cnn,15wcOoz,http://www.cnn.com/videos/us/2015/01/21/ufo-documents-project-blue-book-crane-orig-mg.cnn,Classified UFO documents released  - CNN Video
cnn,15wMnPs,http://www.cnn.com/2015/01/25/us/weather-storm/index.html,Monster snowstorm expected to slam into the Northeast - CNN.com
cnn,15wMnPs,http://www.cnn.com/2015/01/25/us/weather-storm/index.html,Monster snowstorm expected to slam into the Northeast - CNN.com
cnn,15XjcFc,http://www.cnn.com/2015/01/29/opinion/sutter-pangolin-psa-vietnam/index.html,Pangolin: Wildlife trafficking PSA airs in Vietnam - CNN.com
cnn,15YBi9T,http://www.cnn.com/2015/01/29/europe/netherlands-gunman-tv-studio/index.html,Gunman storms Dutch TV station - CNN.com
cnn,15zqSOX,http://www.cnn.com/shows/inside-man,Morgan Spurlock Inside Man - CNN.com
cnn,15zxDzD,http://edition.cnn.com/2015/01/24/football/patriots-belichick-deflategate/index.html,Patriots' Bill Belichick: We did nothing wrong - CNN.com
cnn,15zxDzD,http://edition.cnn.com/2015/01/24/football/patriots-belichick-deflategate/index.html,Patriots' Bill Belichick: We did nothing wrong - CNN.com
cnn,162Ks5M,http://money.cnn.com/2015/02/01/media/super-bowl-ad-review/index.html,"Super Bowl advertisers 'are on trial' - Feb. 1, 2015 "
cnn,1638j4X,http://money.cnn.com/2015/01/27/news/economy/top-1/index.html,"How much it takes to get into Top 1% in every state - Jan. 27, 2015 "
cnn,163E26d,http://www.cnn.com/2015/02/01/entertainment/gallery/super-bowl-xlix-halftime-show/index.html,Super Bowl XLIX halftime show - CNN.com
cnn,164g5MM,http://www.cnn.com/2015/01/29/entertainment/suge-knight-hit-and-run/index.html,Suge Knight arrested in run-over death - CNN.com
cnn,165isz1,http://money.cnn.com/2015/01/30/technology/super-bowl-2015-fans/index.html,"Seahawks v. Patriots: How do the fans measure up? - Jan. 30, 2015 "
cnn,165isz1,http://money.cnn.com/2015/01/30/technology/super-bowl-2015-fans/index.html,"Seahawks v. Patriots: How do the fans measure up? - Jan. 30, 2015 "
cnn,166NGpg,http://www.cnn.com/2015/01/29/health/california-boy-vaccine-school/index.html,Father asks California district to ban unimmunized kids - CNN.com
cnn,166qBmK,http://www.cnn.com/2015/01/29/us/dog-reunion-canada/index.html,Man reunited with stolen dog on animal shelter website - CNN.com
cnn,1675wYq,http://www.cnn.com/2015/01/31/us/texas-chris-kyle-day/index.html,Chris Kyle Day: Texas sets aside February 2 - CNN.com
cnn,167NQgg,http://money.cnn.com/2015/01/30/news/companies/richest-nfl-team-owners/index.html,"Seahawks' Paul Allen is the NFL's richest team owner - Jan. 30, 2015 "
