dt,outlet,sp
2015-02-24,AP,0.0711314518489378
2015-02-25,AP,0.06355762672131861
2015-02-25,AP,0.09383063674111912
2015-02-26,AP,0.07044849468180604
2015-02-26,AP,0.07902801629041302
2015-02-27,AP,0.06701143596076192
2015-02-27,AP,0.08900211635310963
2015-02-28,AP,0.06857780357948329
2015-03-01,AP,0.06692286415817432
2015-03-10,AP,0.07489259216066409
2015-03-11,AP,0.07584462937761666
2015-03-12,AP,0.06545748889455134
2015-03-12,AP,0.06123337304844136
2015-03-13,AP,0.07073011434333223
2015-03-13,AP,0.07822696632489046
2015-03-14,AP,0.07468059580903319
2015-03-14,AP,0.07468059580903319
2015-03-16,AP,0.07565610015431468
2015-03-17,AP,0.07561464126182608
2015-03-18,AP,0.07359286835040246
2015-03-19,AP,0.07190979800249435
2015-03-02,AP,0.0685629397067132
2015-03-20,AP,0.07273905743595638
2015-03-21,AP,0.07157131495236589
2015-03-22,AP,0.08108855974994764
2015-03-23,AP,0.07956574477464146
2015-03-24,AP,0.06454915781136125
2015-03-25,AP,0.07099401815400239
2015-03-26,AP,0.06572683706787796
2015-03-27,AP,0.06570598598149674
2015-03-28,AP,0.07244311210648834
2015-03-29,AP,0.08368476284577113
2015-03-03,AP,0.06080046438819172
2015-03-30,AP,0.07058686680242994
2015-03-31,AP,0.06936322998722114
2015-03-04,AP,0.06313672247547729
2015-03-05,AP,0.07101616902449503
2015-03-06,AP,0.06446205100112837
2015-03-06,AP,0.08295765685474905
2015-03-07,AP,0.07208434538729284
2015-03-08,AP,0.07131655635384622
2015-03-09,AP,0.07492295010656234
2015-04-01,AP,0.06813340934736731
2015-04-02,AP,0.06991231531977914
2015-04-03,AP,0.07743139667408631
2015-04-04,AP,0.0767009369622677
2015-01-27,ABC,0.13413379914432455
2015-01-28,ABC,0.12977786609259323
2015-01-29,ABC,0.1659150072344181
2015-01-30,ABC,0.149301717666203
2015-01-31,ABC,0.1033471928538259
2015-02-01,ABC,0.1507267134926513
2015-02-10,ABC,0.14326967561014245
2015-02-11,ABC,0.14050604220124716
2015-02-12,ABC,0.12786281660607834
2015-02-13,ABC,0.14773010584528815
2015-02-14,ABC,0.09785711725298729
2015-02-15,ABC,0.10509641911480717
2015-02-16,ABC,0.1579445785338637
2015-02-17,ABC,0.11088423576928841
2015-02-18,ABC,0.14255498319912743
2015-02-19,ABC,0.12904363219522696
2015-02-02,ABC,0.1626532001313706
2015-02-20,ABC,0.12094463585676969
2015-02-21,ABC,0.10896042135998836
2015-02-22,ABC,0.12410605601501257
2015-02-23,ABC,0.18211882421003978
2015-02-24,ABC,0.12405158409367106
2015-02-25,ABC,0.12658036397521005
2015-02-26,ABC,0.140518523628873
2015-02-27,ABC,0.13615702413143674
2015-02-28,ABC,0.11776241563412933
2015-02-03,ABC,0.14689763126824726
2015-02-04,ABC,0.12603008986673594
2015-02-05,ABC,0.15168276878137082
