twid,tweep,twtext,fav,rt,url
575691963476934657,nytimesarts,The Curious Case of Kanye West’s ‘Stolen’ Laptop http://t.co/Zp1To9T93s,49,31,http://nyti.ms/1B4HRjp
575691190256988160,nytimes,A Simple Flashcard Test to Detect Concussions http://t.co/7zzYZDm3is http://t.co/X5UeobZrTg,208,208,http://nyti.ms/1GF6hrG
575689570349678592,patrickhealynyt,Hillary Clinton has only one prominent adversary in her 16-month Dem presidential primary: the news media. #hillary http://t.co/ygzax1rqPq,76,74,http://mobile.nytimes.com/2015/03/12/us/politics/early-in-2016-race-clintons-toughest-foe-appears-to-be-the-news-media.html?referrer=
575687730245582848,nytimes,The Greatest Bowling Story Ever Told http://t.co/3t8eP5jGAj http://t.co/WcLukNbwpf,100,68,http://nyti.ms/1AfBp9T
575686154000932866,nytimes,What started as an argument on a subway train during the evening rush ended in a man shot and killed in Brooklyn http://t.co/zq5MiCbwp4,30,54,http://nyti.ms/1Bwj4Z0
575683130511781889,nytimes,Obama remains unconvinced that sending arms to  Ukraine would help http://t.co/9JcZzNsNbm http://t.co/bXyZvPcySh,163,156,http://nyti.ms/1GEuLBA
575681499204296704,NYTMetro,Chicken Spill on Staten Island Snarls Traffic http://t.co/Es3dTdQfuN,31,38,http://nyti.ms/1D5x8fm
575681112040693760,nytimes,Princeton's women joined Kentucky's men as the only undefeated NCAA Division I basketball teams http://t.co/eercuIijpz,71,69,http://nyti.ms/1Bwj4IL
575677599759876097,nytimes,"BBC suspends Jeremy Clarkson, host of ‘Top Gear,’ after a mysterious “fracas” with a producer http://t.co/9TfnHZfrVB",60,82,http://nyti.ms/1FaylS5
575675970847424512,nytimesarts,Who is your choice to lead the New York Philharmonic? http://t.co/Ck0PY5TZxE,22,26,http://nyti.ms/1AfQk3Z
575673876283269120,FrankBruni,"The problem with Hillary's prickly apologia? It tugged us to the past. Elections are about the future. My column, http://t.co/mQHz1Z0U7y",93,74,http://nyti.ms/19aeXsz
575672266735894530,nytimes,TriBeCa Synagogue’s Memorable Building and Stubborn Architect http://t.co/vzIFfPO7fA,29,33,http://nyti.ms/1B3GHED
575671645895028736,portereduardo,The most perilous deficit in education is not about top girls in math. It is about boys in most everything else. http://t.co/pDr0lgIuve,118,129,http://nyti.ms/19a5KAq
575669868944605184,nytpolitics,"Lindsey Graham doesn't email and Chuck Schumer has a flip phone, but Barbara Mikulski is ""hip"" http://t.co/qMN5CekxKX http://t.co/ol1hcMzNIr",233,234,http://nyti.ms/1xcK6Rj
