twid,tweep,twtext,fav,rt,url
607938777156354048,CBSNLive,MORE: Michael Slager indicted in slaying of #WalterScott; he faces 30 yrs to life if convicted http://t.co/AFegNdvLge http://t.co/lHJk1I6eN7,9,14,http://cbsn.ws/1HWTjl4
607933407327338496,CBSNews,MORE: Ex-cop Michael Slager indicted in fatal shooting of #WalterScott in South Carolina http://t.co/zmivjniO6l http://t.co/rfDBOX1Tnj,28,74,http://cbsn.ws/1G771nf
607930633709600768,CBSNews,JUST IN: Former S.C. police officer indicted for murder in fatal shooting of #WalterScott. http://t.co/TtfqwL2vFL,191,648,
607929474630459392,CBSNews,WATCH NOW: Authorities in Boston release video of alleged terror suspect's death http://t.co/B8qoAfeOFs - @CBSNLive http://t.co/3n64b8bjYs,14,41,http://cbsn.ws/1JDbpwH
607926427527315457,CBSNews,"WATCH LIVE: FBI, Boston police give update on alleged terror plot http://t.co/QxQ9ixndRP - @CBSNLive http://t.co/6UoXJzEMsc",10,21,http://cbsn.ws/1T7cRfc
607923805080723456,CBSNews,"Girl who captured cop's violent clash with teens at pool party: I ""believe it was about race"" http://t.co/TI4T3Ksw4q http://t.co/4b8O7mzs0V",42,89,http://cbsn.ws/1HiHxWg
607918562477539328,CBSNews,Abortions are down in almost every state; what's the explanation? http://t.co/xSZwf4CURP http://t.co/9bXcVevlKo,24,32,http://cbsn.ws/1Iy8ruJ
607912288889241600,CBSNews,WATCH LIVE: President Obama speaks at G7 summit http://t.co/QUSLK8f7lu - @CBSNLive http://t.co/K1esYKkeyL,13,26,http://cbsn.ws/1RY8LVe
607909056867631105,CBSNews,"U.S. soldier who murdered 16 Afghans wants sentence reduced: ""My mind was consumed by war"" http://t.co/zCV8ACDCNa http://t.co/pmdUjcHcde",26,39,http://cbsn.ws/1G6Rrbk
607903170203918336,CBSNews,Highlights from the 2015 #TonyAwards at Radio City Music Hall: http://t.co/eufflKx0bg - @CBSShowbiz http://t.co/3YQo4AJPnS,12,17,http://cbsn.ws/1RY38q6
607873274471677953,CBSNews,News you need to know: The morning headlines from @CBSNews http://t.co/7FlYAMjOug,8,9,http://cbsn.ws/1IxJ2Br
607852130116976640,CBSNews,Many Americans are finding it harder to pay for their kids' school lunches. What's changing? http://t.co/Ovh13IAzbB http://t.co/2o5oXaecKB,32,47,http://cbsn.ws/1Gl3O59
607839415835197441,CBSNews,"U.S. journalist Jason Rezaian back in court in Iran facing spy charges his employer calls ""absurd"": http://t.co/LL0qw0mzTE",7,21,http://cbsn.ws/1HhDJoh
607834510475030528,CBSNews,Woman hit by broken bat at Red Sox game on Friday still in serious condition - http://t.co/MwbEWY6dxv,10,16,http://cbsn.ws/1KP0YoH
607819382174162944,CBSNews,"Son of Broncos owner tells 911 before domestic violence arrest he's ""blood of the city"" - http://t.co/KdLWWTH9i7",7,24,http://cbsn.ws/1RWPQu6
607804290955112448,CBSNews,Convicted murderers who escaped N.Y. prison Saturday with power tools left taunting note - http://t.co/WpnZq7vc11,18,23,http://cbsn.ws/1QgIjcc
607789177653088256,CBSNews,Some photos need more explanation than others - http://t.co/v66laNIbgB,6,9,http://cbsn.ws/1RWQ1W6
607774132135165952,CBSNews,"Serena Williams wins French Open, her 20th major - http://t.co/HZR7VQpkuw",74,61,http://cbsn.ws/1HgR5RK
607774130050580480,CBSNews,"Serena Williams wins French Open, her 20th major - http://t.co/Qg5spZ9pbm",31,15,http://cbsn.ws/1KP1kLY
607758963518672897,CBSNews,"Tony Awards 2015: ""Fun Home"" wins best musical http://t.co/s8jKchPES1",14,14,http://cbsn.ws/1FDRSrb
607740102509527041,CBSShowbiz,"And the Tony for best revival of a musical goes to...""The King and I."" #TonyAwards",28,14,
607733809308663808,CBSNews,"N.Y. prison escape was dayslong process, governor says http://t.co/bFrcxbmY03",18,30,http://cbsn.ws/1QgCPhB
607721246000861184,CBSShowbiz,"Best performance by an actor in a featured role in a musical goes to Christian Borle for ""Something Rotten!"" #TonyAwards",18,8,
607717472712671233,CBSShowbiz,"Annaleigh Ashford wins featured actress in a play for ""You Can't Take It With You."" #TonyAwards",6,6,
607713715031523328,CBSNews,Officer investigated after pulling gun on teens http://t.co/KBKEH2jtX8 http://t.co/0z21xpal7r,59,112,http://cbsn.ws/1HVboQH
607711179587338240,CBSShowbiz,"Richard McCabe wins best performance by an actor in a featured role in a play for ""The Audience."" #TonyAwards",6,3,
607706128827432960,CBSShowbiz,"Helen Mirren wins best performance by a leading actress in a play for ""The Audience."" #TonyAwards",47,23,
607686265442594816,CBSNews,ICYMI: Photos that caught our eye last week - http://t.co/oeSfSHfNXk http://t.co/kWIB3pXmI4,129,87,http://cbsn.ws/1RWaxpS
607680953474011136,CBSNews,Video: Visit a NM office building where employees can sign out cats http://t.co/xMVPZxqgUS http://t.co/lAq75z8yen,112,98,http://cbsn.ws/1FCLe4E
607675929075286016,CBSNews,Multi-state crime spree ends when teens hit watery barrier - http://t.co/QIBjwdbFh6 http://t.co/3rBWVquayX,12,19,http://cbsn.ws/1T5K6zC
607671142141313024,CBSNews,Some photos need more explanation than others - http://t.co/WpZ7EKsEK5 http://t.co/Fpa3j5xTNR,46,53,http://cbsn.ws/1RWajza
607669000777170944,CBSNLive,Join us: http://t.co/TQho5dcw6t https://t.co/g6A67C4Cbf,9,7,http://cbsnews.com/live https://twitter.com/vladduthiersCBS/status/607651324545638400
607665874296795137,CBSNews,Calendar: @CBSSunday looks at notable events of week ahead #WorldwideKnitInPublicDay http://t.co/FIBCLcakc8 http://t.co/3Ja7OmAm7d,10,10,http://cbsn.ws/1T5411B
607660864481685504,CBSNews,"OPM data hack was “most significant” government breach ever, @RepMcCaul tells @FaceTheNation http://t.co/bFfRpx8duU http://t.co/0HN8NfELDL",9,27,http://cbsn.ws/1QCDtRl http://cbsn.ws/1T5yxsm
607655807510016001,CBSNews,Woman hit by broken bat at Red Sox game on Friday still in serious condition - http://t.co/ec2ACzEg39,21,41,http://cbsn.ws/1JB1lEB
607650755311501312,CBSNews,.@FaceTheNation remembers Beau Biden http://t.co/cz73j9hwCK http://t.co/N0d93HHeSY,22,8,http://cbsn.ws/1Qg6Huz http://cbsn.ws/1KOj1eJ
607645992024993793,CBSNews,Gallery: The career of the consummate entertainer @BenVereen http://t.co/1g8U4tGuqJ http://t.co/1mbUSxfAns,30,21,http://cbsn.ws/1GiSpml
607643223134236672,CBSNews,"UPDATE: $100K reward offered for info on escaped, convicted murderers in upstate NY - http://t.co/cZuEYMO4fJ http://t.co/PuBzmWmIbD",38,128,http://cbsn.ws/1FDdSmd
607640689548136448,CBSNews,".@RepMcCaul tells @FaceTheNation: Lone-wolf attacks are the ""new wave of terrorism"" http://t.co/V1QqY5O7hB http://t.co/Yl1iyRffDZ",11,14,http://cbsn.ws/1QfW1fp
607635677828808704,CBSNews,"Malaysian official blames deadly quake on naked tourists, gov't bars them from leaving - http://t.co/I7WkXIxhjk http://t.co/t63RyvGCaQ",44,99,http://cbsn.ws/1T5AHrK
607630644911476737,CBSPolitics,Scott Walker backs constitutional amendment to allow same-sex marriage bans @reenaJF http://t.co/QmQc7RoHaA http://t.co/u8irxkeSvA,22,38,http://cbsn.ws/1IvGaVN
607625598098382849,CBSNews,"Son of Broncos owner tells 911 before domestic violence arrest he's ""blood of the city"" - http://t.co/1BLj8ipe0q http://t.co/wq4dtxwvom",24,57,http://cbsn.ws/1Qg5d3s
607620570834976768,FaceTheNation,Short take: John's explainer on the politics of voting rights http://t.co/6estlw6yq7,9,6,http://cbsn.ws/1RVku78
607616034892349443,CBSNews,A long Triple Crown dry spell is now ended (via @CBSSunday) http://t.co/XWkK7whrFC http://t.co/dUfXvORO1q,75,34,http://cbsn.ws/1RV4xO5
607610493918978051,CBSNews,Join @CBSSunday for an intimate profile of consummate entertainer @BenVereen by @MoRocca http://t.co/PRmH6FGlQm http://t.co/v4gkQbEGKS,29,21,http://cbsn.ws/1JACMaR
607605469893525506,CBSNews,Chris Christie blasts Rand Paul’s “grandstanding” on NSA on @FaceTheNation - http://t.co/09duDBSN2J,20,12,http://cbsn.ws/1KNWM8H
607600428302352384,CBSNews,A remarkable operation in Haiti to separate conjoined 6-month-old girls (via @CBSSunday) http://t.co/jH5j9J0tRt http://t.co/fOTyj8ovCn,63,91,http://cbsn.ws/1GiQ22P
607595406059573249,CBSNews,Meet the new face of @FaceTheNation - and his mom (via @CBSSunday) http://t.co/PQGlnHup8M http://t.co/Yp2M07vWT9,33,20,http://cbsn.ws/1IvmwcA
607590377105817600,CBSNews,"On @FaceTheNation, @BilldeBlasio says: ""We have a democracy problem in this country"" - http://t.co/DCg4HqZ2xV http://t.co/ewsfXPP2rL",21,26,http://cbsn.ws/1IvmykL
607586711607066624,CBSNews,JUST IN: Stan Wawrinka upsets Novak Djokovic to win French Open - http://t.co/VS0YLU6dp9 http://t.co/uF0r33ERFm,58,58,http://cbsn.ws/1IvkysD
607582814255595520,CBSNews,CBS News poll: Majority of Americans were bullied as kids (via @CBSSunday) http://t.co/0fRkma4n3x http://t.co/e1Y6wqr4lu,57,66,http://cbsn.ws/1FCuQ41
607577789483614208,CBSNews,Convicted murderers who escaped N.Y. prison Saturday with power tools left taunting note - http://t.co/AxpXc9o4Dn http://t.co/0vmDfrwAap,22,59,http://cbsn.ws/1T5a5Y4
607572754997604352,CBSNews,Tony nominee John Kander on longtime collaborator Fred Ebb @TheVisitMusical (via @CBSSunday) http://t.co/s8qvK7HHDK http://t.co/snztni4xaM,28,21,http://cbsn.ws/1Hf0clK
607567715667210240,CBSNews,"Chris Christie's last question on 2016 bid: ""Do I want to do it?"" (via @FaceTheNation) http://t.co/EKbd4GFDoB http://t.co/56N854DHgp",9,19,http://cbsn.ws/1JAtTOv
