twid,tweep,twtext,fav,rt,url
607931339820527617,NBCNews,Walter Scott shooting: Grand jury returns murder indictment against cop http://t.co/k2hzeiVfm1 http://t.co/P1pf2Najfg,87,150,http://nbcnews.to/1RYmpYv
607928317472305152,NBCInvestigates,Authorities have released photos of escaped prisoners Richard Matt and David Sweat's tattoos. http://t.co/PQ3nthhy3e http://t.co/G4SO8rbB5c,16,35,http://www.nbcnews.com/news/us-news/richard-matt-david-sweat-convicted-murderers-who-escaped-prison-have-n371546
607919690694950912,NBCNews,Supreme Court rules on Jerusalem passport issue http://t.co/2U1WeMI8YG http://t.co/8H865xsPWc,18,27,http://nbcnews.to/1QFaFHQ
607917780965445632,NBCNews,"Richard Matt and David Sweat, convicted murderers who escaped prison, have grisly past http://t.co/uC2DkjCd2w http://t.co/1YPEyCdoQW",27,62,http://nbcnews.to/1Jz1Bpc
607915191901290496,NBCNews,Oscar Pistorius will likely leave prison on August 21: Officials http://t.co/A9Y8fWOQFU http://t.co/ZgfKrS9Dho,12,35,http://nbcnews.to/1GlDp71
607912091794702337,NBCNews,"WATCH LIVE: President Barack Obama speaks at G-7 summit in Germany
http://t.co/tXi5Jx88pO http://t.co/wmAk1B0owc",17,30,http://nbcnews.to/1QF2hYX
607909158030057472,NBCNews,"Coming Up: President Barack Obama speaks at G-7 summit in Germany
http://t.co/tXi5Jx88pO http://t.co/rbuSG2LT3q",30,37,http://nbcnews.to/1QF2hYX
607901393756778496,NBCNews,Dunkin' Donuts in 'private test' of delivery service http://t.co/QU1cwbTl0l http://t.co/iy5pBSDaxj,92,96,http://nbcnews.to/1FLbmJE
607893820387299328,NBCNews,Awkward! @POTUS leaves Iraq's prime minister hanging http://t.co/uQtyx76myY http://t.co/8lFexo7C4p,30,31,http://nbcnews.to/1AXafLu
607890730590302208,NBCNews,Turkey in political turmoil as voters deal blow to president Erdogan http://t.co/kPlkYOnq7k http://t.co/5l06jtfq73,14,39,http://nbcnews.to/1HWpyAW
607879779895918593,NBCNews,"U.S. reporter @jrezaian, accused of espionage, back in Iranian court http://t.co/BbsFFOnnvx http://t.co/7w2nTsb5Kk",7,22,http://nbcnews.to/1T6Szm1
607878969401217024,NBCNews,Firefighters tackle huge blaze at Pennsylvania chemical warehouse http://t.co/WN8e9Jg51g http://t.co/Dn73a4nttr,22,57,http://nbcnews.to/1IxLUym
607878372757278720,NBCNews,"Escaped killers 'definitely had help' in prison break, @NYGovCuomo says http://t.co/pg7hWfjsAe http://t.co/yRaltnUR6t",24,44,http://nbcnews.to/1QhEVhh
607875952539004929,TODAYshow,"""It was an unbelievable magical moment"" - American Pharoah's owner Ahmed Zayat http://t.co/dzzReBwFWa http://t.co/mZH7uGSeje",161,65,http://on.today.com/1RXJkmF
607871889223106560,NBCNews,Family flees moments before stolen bulldozer razes home http://t.co/IANG37pyjZ http://t.co/veC9VChCz6,25,27,http://nbcnews.to/1T6Qc2B
607869565851320320,NBCNews,'Unwatchable' FIFA movie red-carded at box office http://t.co/BBecTW4u1k http://t.co/c4xasaqy2p,25,35,http://nbcnews.to/1QEAnwf
607869077034528768,NBCNews,Mexico elects first independent governor 'El Bronco' http://t.co/ecEaGryNRN http://t.co/cgK57nx3FE,88,157,http://nbcnews.to/1GuxtuC
607867811352969216,NBCNews,Texas cop on leave after video emerges of him tackling unarmed 14-year-old wearing bikini http://t.co/K2eQL6LF0H http://t.co/CkYQTOqjNi,83,148,http://nbcnews.to/1FEgwrL
607867253451825154,NBCNews,Manhunt intensifies as escaped murderers remain on run for third day http://t.co/kUnZGKL18b http://t.co/MNsL8sjNyn,20,56,http://nbcnews.to/1dXtGcB
607852030225489920,CassVinograd,Firefighters battle massive blaze at chemical warehouse in #Hanover PA http://t.co/tIxr2a9fmF #AdamsCounty http://t.co/VNJvHeFIkn,26,43,http://www.nbcnews.com/news/us-news/fire-burns-miller-chemical-hanover-pennsylvania-n371421
607850449249660928,NBCNews,Firefighters battle blaze at chemical warehouse http://t.co/AXobVEZi0S,14,16,http://nbcnews.to/1Jyrplk
607850227786252289,NBCNews,"'No stone unturned': Manhunt for escaped murderers intensifies, reports @CassVinograd http://t.co/JmNBLeXybG http://t.co/wzQ2JejS0S",41,70,http://nbcnews.to/1QhpRAe
607844074939400192,nbcwashington,Can you imagine driving on the highway and seeing this?! http://t.co/Xlqh7w1tJX http://t.co/1xD9DoDBy1,84,69,http://nbc4dc.com/GnoUyCP
607843399304159232,NBCNews,Germany's Angela Merkel urges G-7 leaders to send Vladimir Putin a 'united signal'  http://t.co/upJ5IJesBC http://t.co/o4QLzMUvRe,39,58,http://nbcnews.to/1AWCREo
607840431087480832,NBCNews,"Jet skids off runway in Buffalo, NY, after landing in 'high winds' http://t.co/JFgNVwmibE",13,29,http://nbcnews.to/1cG0sxk
607836123197489153,NBCNews,Confusion reigns as 53 bodies found in quake-hit Nepal http://t.co/OJvEj7yeaL http://t.co/aLia6v0bMj,15,27,http://nbcnews.to/1cFZaT9
607830236223389696,NBCNews,U.S. soldier who massacred 16 became 'consumed by war' http://t.co/YGhgkXfL4O http://t.co/dJlktnYVJo,19,22,http://nbcnews.to/1dXlk4W
607821755219124224,NBCNews,Lion elevator restored at Rome's gladiator Colosseum http://t.co/xpw5TAwlG1 http://t.co/SQYvBH6P9o,52,43,http://nbcnews.to/1Ip0NAc
607816862395695104,NBCNews,"'Fans vs state police': Summer Jam concert turns ugly, via @NBCNewYork http://t.co/iaxHKfH9lJ",13,12,http://nbcnews.to/1eXrGBs
607815819419131904,NBCNews,'Curious Incident' and 'Fun Home' win big at @TheTonyAwards http://t.co/v7ABTpJeWG http://t.co/NZY17FrBAd,24,11,http://nbcnews.to/1T6y09q
607811619041779712,NBCNews,China's new passion for pets is big business http://t.co/EDqDQg93Z7 http://t.co/17RiQnb1Qf,37,22,http://nbcnews.to/1T6w1Sw
607809056284286976,NBCNews,.@melissamccarthy's 'Spy' tops 'Entourage' with $30 million weekend http://t.co/7KkJEKBECI http://t.co/DLVcx1x2j2,97,42,http://nbcnews.to/1QE0gMv
607784600216195072,NBCNews,Sixth person dies of MERS virus in South Korea as number of infected grows to 87 http://t.co/stbMGaqzmD http://t.co/O3Aw9iBiFV,27,84,http://nbcnews.to/1RX011G
