twid,tweep,twtext,fav,rt,url
584357333309980672,bbcworld,Faces on the frontline: Ukrainians hanging in the balance of a shaky ceasefire http://t.co/wYpoJA7NhY http://t.co/GLVCEGPmX3,47,51,http://bbc.in/1GTJbwH
584351719007617024,BBCAfrica,Lucrative business: The business of comedy in Africa is no longer just for laughs. http://t.co/mEMnzqaSOH,44,49,http://www.bbc.co.uk/news/business-32174404
584350487958450176,BBCNewshour,Podcast: Does Kenya have a home-grown extremism problem? Violence in Tikrit; Thunderbirds returns http://t.co/TUsvqLguW6,16,17,http://bbc.in/1C0jLah
584341700392460288,PhilippaBBC,".@mary_harper ""Al Shabab is a pioneer in use of social media &amp; internet"" - remember Somalis scattered around world, v used to mobile tech.",22,34,
584341691680817153,PhilippaBBC,#KenyaAttack BBC's @mary_harper reminds us @BBCWorld not to forget Al-Shabab kills Muslims too - and is actively recruiting inside Kenya,26,71,
584339795293405185,BBCAfrica,Authorities in Somalia have shut down 2 radio stations after they broadcast statements from Al Shabaab about its attack on Kenyan university,34,190,
584339781552832512,PhilippaBBC,"With you on @BBCWorld for the next five hours - we're headling #Kenya, #Alabama - and watching the #lunareclipse.",18,11,
584336849298190336,bbcworld,Shia militia pulled out of Tikrit http://t.co/ytsvNuOjKy,38,59,http://bbc.in/1C08EOy
584336240826314752,bbcworld,How do you survive 66 days lost at sea? http://t.co/C7k7vqprxf,84,64,http://bbc.in/1D3xguF
584317667814801408,bbcworld,Rhino horn: The deadly battle for the animal part more valuable than gold http://t.co/0z8CP1kyi1 http://t.co/Enh5J3iqmf,286,441,http://bbc.in/1yKIi2M
584301900058796032,BBC_HaveYourSay,Thousands evacuated as Typhoon Maysak heads for the Philippines. Are you there? Let us know. @ reply with details. http://t.co/qEemiUonDS,73,229,
584291432019718144,bbcworld,"Joni Mitchell ""getting stronger each day"" after being taken to hospital earlier this week http://t.co/tpodbnj878 http://t.co/zIAHs6HuXW",235,190,http://bbc.in/19Ra0UQ
584289396314243072,bbcworldservice,How big a deal for China rising is its new investment fund? Does it mark another leap towards superpower status? http://t.co/lbyrIRuP3m,41,51,http://bbc.in/1EJs2X4
