twid,tweep,twtext,fav,rt,url
584357713238294528,foxnews,Kenya arrests 5 linked to school massacre http://t.co/mbC0CJULW2,38,37,http://fxn.ws/1HvnNfp
584351925761507328,foxnews,Video purportedly shows ISIS destroying ancient Iraq city that withstood Roman invasions dating back to AD 116 http://t.co/42m51VjFOs,41,90,http://fxn.ws/1D3eYd3
584345727456780288,fxnopinion,.@megynkelly: 'Just Disgusting' That @SenatorReid Doesn't Regret Romney Tax Claim http://t.co/vXT6FhQKse,65,55,http://ow.ly/Lc5G9
584326261234737152,foxnewspolitics,Emails reveal former Oregon governor's fiancee influenced staff members | http://t.co/RWLBPtSetf,31,27,http://ow.ly/Lc4iW
584325598203379712,foxnews,"VIDEO: Bill may stop food stamp recipients from buying chips, soda http://t.co/hYyLXW8TcJ",421,161,http://bit.ly/1MP7gcR
584322964998332419,foxnews,"'Price is Right' model Manuela Arbelaez keeps job after $21,960 error http://t.co/T5ZfRuZG8T http://t.co/E1AHkhdjo8",302,141,http://fxn.ws/1y618Xm
584322035549020161,foxnews,Man dies from self-inflicted gunshot wound at Universal Studios theme park http://t.co/pkoYiXd0RA,40,53,http://fxn.ws/19QLUJU
584298394924920833,foxnews,Video purportedly shows ISIS destroying ancient Iraq city http://t.co/42m51VjFOs http://t.co/NsUB5kMCJy,53,160,http://fxn.ws/1D3eYd3
584290692052062208,foxnews,"Ferguson releases racist emails from former city official, officers http://t.co/oCS1s5TgSM",28,40,http://fxn.ws/1J3VhCL
584269770939211776,foxnews,California court rules teaching yoga in schools not gateway to Hinduism http://t.co/d9lEv52Mbo http://t.co/Xg9nlIn4c7,143,145,http://fxn.ws/1EUSLzS
584267328755380224,foxnews,Al-Shabaab reportedly vows more attacks against Kenya after school massacre http://t.co/mbC0CJULW2 http://t.co/rXGfUVvsCn,52,114,http://fxn.ws/1HvnNfp
584251754289631232,foxnews,"2 missing as floods hamper South, Midwest http://t.co/XvvHxE9jfO http://t.co/0sAZ1Zomwx",30,53,http://fxn.ws/1CoSb6s
584243953035157504,foxnews,US geologist freed after serving 8 years in China prison http://t.co/TjJIykiMhK,77,65,http://fxn.ws/1CoLfWU
584230994397396994,foxnews,Judge orders Facebook to turn over documents after man flees criminal charges http://t.co/c0W2dorg54,47,48,http://fxn.ws/1atxm4k
584226819831758849,foxnews,Man dies from self-inflicted gunshot wound inside California theme park http://t.co/pkoYiXd0RA,37,55,http://fxn.ws/19QLUJU
584212425030762497,foxnews,Emails reveal former Oregon governor's fiancee influenced staff members http://t.co/cQZefcP1ZQ http://t.co/YWYwv3tIk9,55,67,http://fxn.ws/1EU7tHD
584193940225568768,foxnews,Blue Bell suspends operations at Oklahoma plant http://t.co/TgC8xoKAaQ http://t.co/O5Ux3Z725E,81,118,http://fxn.ws/1atcpGw
584190588368453633,foxnews,California 'revenge porn' site operator sentenced to 18 years http://t.co/J512FoNdyF,93,67,http://fxn.ws/1MNvkwW
584139228377784320,foxnewspolitics,State Department rejects call for Iran deal to affirm Israel's 'right to exist' http://t.co/wygwjOmtlR #IranTalks,58,144,http://fxn.ws/1Dw75Pt
584127452819034113,foxnews,Florida grandmother's self-penned obituary goes viral http://t.co/2t8jlKd56D via @Karl_de_Vries http://t.co/PG5Q7GUOt9,295,177,http://fxn.ws/1IwCUFu
584126437952589825,foxnews,"Sarah Brady, wife of former Reagan press secretary and gun control advocate, dies at 73  http://t.co/rGZmlF3RYW http://t.co/yZhZ5fh5Ae",68,84,http://fxn.ws/1xKlmFu
584122750979051520,LucasFoxNews,"Don’t be like Pontius Pilate and ignore Christian persecution, Vatican warns http://t.co/bqfw3Z0e5M with @JenGriffinFNC #GarissaAttack",188,147,http://fxn.ws/1J1Akbm
584098161955713024,foxnews,Remains of Japanese WWII soldiers found in sealed cave. http://t.co/0OyKaBgELE,80,95,http://fxn.ws/19PAl5H
584094301786779649,foxnews,Jindal/Robertson in 2016? Only if Willie takes 'huge pay cut' via @Fox411 http://t.co/e48szA7kVq http://t.co/GRNHqAY2rG,214,106,http://fxn.ws/1xJP6lR
584090604331610112,foxnews,"Secret Service accused of leaking info on GOP critic’s job rejection, DHS secretary apologizes via @foxnewspolitics http://t.co/mUVyDd3M66",40,79,http://fxn.ws/1xJN7y3
584087220539097088,foxnews,University cancels church’s #Easter service  http://t.co/5Xb6Qg3yR6 via @toddstarnes http://t.co/epNqu9Nuov,78,193,http://fxn.ws/1xIHYGq
584086804283826176,foxnews,'Bond between strangers': Vietnam POW bracelet to unite pair after decades via @CristinaCorbin http://t.co/sbRdbAYBU0 http://t.co/CbqxdPClsA,53,49,http://fxn.ws/1xJMTH7
584083155365203969,foxnews,Wow family and friends with some of these Easter dinner ideas via @fxnleisure http://t.co/HYNqZJpEag http://t.co/q32NN25C8z,66,43,http://fxn.ws/1xJLuAn
584079196852326400,foxnews,17-year-old girl living in ‘100-year-old body' dies via @foxnewshealth http://t.co/VY8Xt7o2Yp,49,54,http://fxn.ws/1xJHdgq
584075524181327872,foxnews,Planets like Tatooine from ‘Star Wars’ may exist via @fxnscitech http://t.co/Wfr5aqZMMF http://t.co/CBoAB6VLBV,178,107,http://fxn.ws/1ClE69Q
584071987422593024,fxnopinion,University cancels church’s Easter service via @toddstarnes http://t.co/0GwQwEtPSJ http://t.co/DAUI7UovDw,58,104,http://ow.ly/LaUJy
584067820872310784,foxnews,Don’t miss #KillingJesus TONIGHT on Fox News Channel at 8p ET. http://t.co/5yXs3CIThu http://t.co/IQWCXqNTv0,179,133,http://bit.ly/1EFVrBt
584064123782111232,foxnews,ROV industry fighting pending safety regulations it says could backfire via @garygastelu http://t.co/plscoDeozZ http://t.co/oi7FzuNAz6,36,34,http://fxn.ws/1CllSFk
584060430546444288,foxnews,"Selective outrage? Top companies rip Indiana, reap profits in brutal nations. http://t.co/JIIUVOD7dr",177,274,http://fxn.ws/1Clmx9R
584058201978478593,FoxNewsLive,Concern Obama's #Iran deal hurts US relationship with #Israel | @foxnewspolitics http://t.co/OmQmXQb1NY http://t.co/QsxbPK3nEy,62,85,http://video.foxnews.com/v/4151702186001/concern-obamas-iran-deal-hurts-us-relationship-with-israel-/?#sp=show-clips
584056563305877507,foxnews,"The Big Sell: Iran touts nuke deal terms, as US tries to claim win. http://t.co/KnU2PVIjCD http://t.co/5RhOXzFCr4",45,94,http://fxn.ws/1ClkhQ7
584052892522258432,foxnews,"Blind man completes Tough Mudder, vows to run in Boston Marathon via @foxnewshealth http://t.co/HQLhjy1wzU http://t.co/nijZh9AaQf",233,128,http://fxn.ws/1xJ7YBq
584049046035136512,Fox411,.@kelly_clarkson opens up on weight struggles http://t.co/skgP651yzP http://t.co/feFA4o5puY,68,19,http://fxn.ws/1CkAapZ
584046895980384256,FoxBusiness,"We wish @RichEdsonDC good luck on his move to @FoxNews! WATCH @Varneyco and Rich do impressions of each other.
https://t.co/RuPyMfdK61",37,24,https://amp.twimg.com/v/4ca7288f-91dc-409e-9081-10cefb83178b
584045262307368961,foxnews,WATCH: 'Zombie' dog left for dead reappears after being buried. http://t.co/msEUESZUTC,58,59,http://bit.ly/1xJ6hUE
584041492898951170,foxnews,Judge orders California to pay for inmate's sex change. http://t.co/OjNZeHTsgz,52,86,http://fxn.ws/1xJ1UZP
584037789185867776,foxnews,"Arson threat targeting Christian pizzeria just a 'mean tweet,' says Indiana news exec. http://t.co/wSnYHIWCyZ http://t.co/CGpnx5HzMi",76,125,http://fxn.ws/1xJ1sec
584033911459614720,foxnews,Kansas to allow residents to carry concealed guns without permit. http://t.co/Jeg2M30cXB,364,291,http://fxn.ws/1xIZdrb
584030173336477696,foxnews,"Pope Francis told to lay off pasta, pizza after noticeable weight gain via @foxnewslatino http://t.co/yZAi4QkouH http://t.co/YOa7RK2vmh",175,166,http://bit.ly/1J01SxS
584026370583330817,foxnewshealth,The curious story of the man who 'laid an egg' http://t.co/L0w9TVdQAN via @EditorNicoleK http://t.co/v3Xcur09JX,67,71,http://ow.ly/Laior
584022747312824321,foxnews,Photo with Snoop Dogg lands Texas state trooper in hot water. http://t.co/lW48QyfFF9 http://t.co/eWLcRJHqbB,38,55,http://fxn.ws/1EQUJkS
584018824481017857,foxnews,Feds nab Philadelphia woman who allegedly planned to become #ISIS martyr. http://t.co/HohqkCFM0b,53,84,http://fxn.ws/1J03WpB
584015083996520449,foxnews,Texas cops use '21 Jump Street' tactics to bust high school drug ring. http://t.co/5R8rkhRNtx,366,312,http://fxn.ws/1NGx8mm
584012512716173315,foxnews,More families feel worse than better as a result of #ObamaCare via @foxnewspoll http://t.co/vn4jJxzbZm,119,92,http://fxn.ws/1NGy8ag
584011308682485760,foxnews,Watch the Fox News Channel premiere of #KillingJesus TONIGHT at 8p ET. http://t.co/5yXs3CIThu http://t.co/KvvPB5CvtB,279,195,http://bit.ly/1EFVrBt
584007537273372672,foxnewspolitics,".@netanyahu : Iran nuke plan poses ‘grave danger’ to region, Israeli Cabinet ‘strongly’ opposed http://t.co/ZChYE08ZyL #IranTalks",64,65,http://fxn.ws/1EQBh81
584003732620214273,foxnews,Super species: Animals with extreme powers invade museum. http://t.co/cTms2Sh8vS http://t.co/btZDeCCkFL,63,51,http://fxn.ws/1NGxKbH
583999939895660546,Fox411,"Golfer @Lexi Thompson poses topless in @GolfDigest, shares secret to her physique http://t.co/vrDFlU5H0k http://t.co/HGeYD25xRo",70,25,http://fxn.ws/1xIc2SI
583996147351453696,foxnews,Watch how this 'Price is Right' model accidentally reveals answer via @Fox411 http://t.co/iSFHvP7dSJ http://t.co/jnx3UpyZTl,154,107,http://fxn.ws/1y5kkob
583992539641851905,foxnews,Miracle at sea: SC sailor rescued after 66 days adrift in the Atlantic. http://t.co/wWBx2FbkcD http://t.co/m9XlrjlFoS,249,160,http://fxn.ws/1y5kg7T
583988594026524674,foxnews,"Indiana, Arkansas pass revised religious objection laws. http://t.co/11wzprzU1v",42,45,http://fxn.ws/1y5kdJk
583984897787723776,foxnews,US reportedly backed down on initial goals in #IranTalks http://t.co/b6bv6hJi7P http://t.co/KHEix9hRM9,69,154,http://fxn.ws/1y5jY0D
583981143919165440,foxnews,North Korea reportedly recruiting women to join 'pleasure squad' for Kim Jong Un. http://t.co/1kte97pY06 http://t.co/LQSfDQKvRE,227,287,http://fxn.ws/1HryPSP
583975621274906624,foxandfriends,"BREAKING: Fire at GE Appliance Park in Louisville, KY. No injuries reported
https://t.co/iJNFk3CF6v",52,98,https://amp.twimg.com/v/210674fd-7d04-40da-b017-a0b57c58cf8a
583972240934350848,foxnews,"US creates just 126,000 jobs in March, big miss http://t.co/L0UIf3tJm5 by @FoxBusiness",35,52,http://fxn.ws/1DuyVeP
583967738185420800,foxnewspolitics,Iran accuses US of lying about new nuke agreement http://t.co/dzBLzYFOJC #IranTalks,77,127,http://fxn.ws/1BXzIyQ
583967666974498817,foxnews,VIDEO: Indiana pizza place at center of religious freedom outrage http://t.co/PM10Q0tAii,38,46,http://bit.ly/1y5fcQK
583965213994549249,johnrobertsFox,Today's quiz. What city is this? http://t.co/cksUvl4JZV,26,22,
