twid,tweep,twtext,fav,rt,url
584362318273847296,huffingtonpost,The mensches at Ben and Jerry's have created a charoset-flavored ice cream for Israel http://t.co/WlNSvTAaDG http://t.co/QsmVtFNEzn,10,12,http://huff.to/1xyE2rH
584361054727237632,huffingtonpost,10 genius ways to beat jet lag http://t.co/GiV62kXLFh,22,16,http://huff.to/1C1bVOB
584359809828397056,huffingtonpost,The ultimate guide to springtime in Paris http://t.co/nLJRgWVMFa http://t.co/C8bnEPWETA,127,66,http://huff.to/1D3AQ89
584358538081865728,huffingtonpost,The strange ways your name influences your behavior http://t.co/vSnfa61WTc,43,40,http://huff.to/1MzM5eU
584357281476784128,huffingtonpost,Ethnic tensions between Israeli Jews fuel Netanyahu victory http://t.co/l9UY3Nn4K0,11,16,http://huff.to/1MPybp1
584356023059742720,huffingtonpost,Thousands trapped in Damascus camp as ISIS takes over http://t.co/zw5htM8hyY,10,37,http://huff.to/1C198oG
584354765712265217,huffingtonpost,"Here's everything Iggy Azalea says in ""Furious 7"" http://t.co/8PFIDlmSAP",4,8,http://huff.to/1NJvXEN
584353503889461248,huffingtonpost,Hundreds of slaves rescued after investigation into forced labor http://t.co/mj54AVFQLe,32,57,http://huff.to/1C17LX4
584352246227464193,huffingtonpost,Kenya attack survivor found hiding in closet two days after 148 massacred http://t.co/ZRMqCdmJl2,51,112,http://huff.to/1MPu2kO
584350993262972928,huffingtonpost,The 9 most secretly awesome places in America http://t.co/VhSuNuUUFH http://t.co/jmh8Lp2QLr,298,201,http://huff.to/1NJsLJb
584349733491191808,huffingtonpost,Transgender Mormons struggle to feel at home  http://t.co/qomnY7puvE http://t.co/UkTreagjMF,34,37,http://huff.to/1MPrQKn
584348472175947777,huffingtonpost,"Cardinal Kasper, 'The Pope's Theologian' reveals the brain behind Francis' heart  http://t.co/wy3jpyXflC http://t.co/3ISiSJGDis",56,28,http://huff.to/1MPqRtv
584347309934260226,huffingtonpost,"5 crucial lessons from the recent measles outbreak
 http://t.co/GaiDGUwFAH",9,30,http://huff.to/1NJrodq
584345958907039744,huffingtonpost,The slaying of Bangladeshi bloggers highlights dangers for atheists around the world  http://t.co/oOhARJPOpL http://t.co/f8h2sGtMjV,50,114,http://huff.to/1C13J0K
584344700435431424,huffingtonpost,How a musical tradition of Islamic mysticism found an unlikely home in Texas  http://t.co/OQSLehm5b3 http://t.co/3VjePLq0hV,56,50,http://huff.to/1C13aUH
584343444392439808,huffingtonpost,14 reasons why you're so tired http://t.co/L1QUiaBM8z http://t.co/p6oRHNZ7uP,116,62,http://huff.to/1BYrBC7
584342182632513537,huffingtonpost,"Meet Rain Dove, the stunning androgynous model breaking barriers in fashion http://t.co/8oCT1h8Cmt",30,15,http://huff.to/1MPltGV
584340920813940736,huffingtonpost,6 things you need to know to lower your student loan payments http://t.co/4V3Apb53Fq,81,61,http://huff.to/1MPkpTq
584339669179043840,huffingtonpost,Kristin Cavallari shares adorable beach photo with her son http://t.co/TAHhftXogQ,10,8,http://huff.to/1MLLvuH
584332614712033280,huffingtonpost,The sneaky hotel fee you should always check for http://t.co/SfPVy8E0RH,33,46,http://huff.to/1MGV9yw
584328842011086848,huffingtonpost,Teen hero turns the tables on college admissions by rejecting her rejection letter http://t.co/3Y5dmlO1mn,87,80,http://huff.to/1NBaiN7
584325063492685824,huffingtonpost,"Yep, people are trying to buy One Direction now http://t.co/uGybwAeTl7",20,16,http://huff.to/1MHZEcg
584321289667682305,huffingtonpost,Katie Holmes is back with her best role in years http://t.co/OLREMxk4xC,37,20,http://huff.to/1BYLARi
584317519269388288,huffingtonpost,5 ways to make your kitchen less boring http://t.co/3CGxsa166o http://t.co/3746PDqkkP,81,48,http://huff.to/1BYKGEe
584313742009204736,huffingtonpost,"All over the country, kids are getting tasered and sprayed with chemicals in school http://t.co/tMskSppglG",29,50,http://huff.to/1MM5byz
584309969878659073,huffingtonpost,You’re 90 seconds away from a calmer mind http://t.co/FMLwTxt4U1,93,57,http://huff.to/1MLVNe6
584306191939072002,huffingtonpost,6 packing tips for hoarders http://t.co/kyNOIfb7Gb http://t.co/YJYwjPgLDE,95,56,http://huff.to/1MAbuoA
584302418348924928,huffingtonpost,"""Grape Camp"" is the wine-themed summer camp of your wildest dreams http://t.co/GfAKXmObKW http://t.co/7tZfwc5d72",162,155,http://huff.to/1BUStD5
584298639553626112,huffingtonpost,Pat Robertson warns gays will force Christians to like anal sex http://t.co/glj5lJVYx0,61,86,http://huff.to/1MLYKeD
584294865703407616,huffingtonpost,Princess Diana's brother recalls a particularly horrible comment a paparazzo once made to her http://t.co/40wItpSVGu http://t.co/2npadObel6,68,60,http://huff.to/1BW7pkd
584291091786162176,huffingtonpost,2 tasteful ways to wear animal print http://t.co/H6SW7cZJQS http://t.co/Q9j0weFEpG,25,11,http://huff.to/1MLWGDA
584287316090474497,huffingtonpost,The tricked-out version of SkyMall is here http://t.co/bG1RNyyyJr,21,11,http://huff.to/1BTRbZ4
584283542605160449,huffingtonpost,These are the top 10 cities for post-grads http://t.co/rzNuLo5e2u http://t.co/mL1UWlUaSX,157,114,http://huff.to/1BWgWbb
584279768583036929,huffingtonpost,Amber Rose just made it very clear that she wants to get back together with Wiz Khalifa  http://t.co/vVyqEbPMc5,27,16,http://huff.to/1BYytzA
